Character Name,Variant Name,Number of Appearances Available,Character Description (If Available)
Spider-Man,Spider-Man (1602),128,
Spider-Man,Spider-Man (2099),191,
Spider-Man,Spider-Man (Ai Apaec),46,
Spider-Man,Spider-Man (Ben Reilly),152,
Spider-Man,Spider-Man (House of M),0,"In the House of M universe, surrounded by his family, including his young son Richard and close friends, Peter Parker is the envy of the world and its most popular mutant; but lately, Peter has felt like something is wrong in his world."
Spider-Man,Spider-Man (LEGO Marvel Super Heroes),0,
Spider-Man,Spider-Man (Marvel Zombies),20,"Zombie Spider-Man ate his own wife and aunt, the only two people left in the world who truly loved him."
Spider-Man,Spider-Man (Marvel: Avengers Alliance),0,
Spider-Man,Spider-Man (Miles Morales),917,"Teenager Miles Morales grew up in Brooklyn, New York. Recently, Miles took on the controversial and pressured role of Spider-Man shortly after the death of the original. Morales made his debut against The Kangaroo, much to the surprise and disapproval of many present at the confrontation."
Spider-Man,Spider-Man (Noir),45,
Spider-Man,Spider-Man (Peter Parker),11756,"Bitten by a radioactive spider, high school student Peter Parker gained the speed, strength and powers of a spider. Adopting the name Spider-Man, Peter hoped to start a career using his new abilities. Taught that with great power comes great responsibility, Spidey has vowed to use his powers to help people."
Spider-Man,Spider-Man (Takuya Yamashiro),0,
Spider-Man,Spider-Man (Ultimate),656,"Peterâ€™s relatively normal life changed abruptly during a school trip to Osborn Industries, Inc, where the company had been working on a super soldier serum, the Oz Compound; a spider exposed to it escaped and bit Peter before it was destroyed."
Captain America,Captain America,6833,"Vowing to serve his country any way he could, young Steve Rogers took the super soldier serum to become America's one-man army. Fighting for the red, white and blue for over 60 years, Captain America is the living, breathing symbol of freedom and liberty."
Captain America,Captain America (House of M),9,
Captain America,Captain America (LEGO Marvel Super Heroes),0,
Captain America,Captain America (Marvel War of Heroes),0,
Captain America,Captain America (Sam Wilson),175,"Sam Wilson, a Harlem native, previously operated under the name Falcon, fighting alongside the Avengers. When his longtime friend Steve Rogers stepped down as Captain America, Wilson was hand-picked to fill the role. Now the former Falcon soars through the skies wearing red, white and blue.</p>"
Captain America,Captain America (Ultimate),195,
Captain America,Captain America/Steve Rogers (MAA),0,"During World War II, Steve Rogers enlisted in the military and was injected with a super-serum that turned him into super-soldier Captain America! He's a skilled strategist and even more skilled with his shield, but it's his courage and good heart that makes Captain America both a leader and a true hero. "
Black Widow,Black Widow,1520,
Black Widow,Black Widow (LEGO Marvel Super Heroes),0,
Black Widow,Black Widow (Ultimate),46,
Black Widow,Black Widow (Yelena Belova),34,
Black Widow,Black Widow/Natasha Romanoff (MAA),3,"Natasha Romanoff, also known as Black Widow, is a world-renowned super spy and one of S.H.I.E.L.D.'s top agents. Her hand-to-hand combat skills, intelligence, and unpredictability make her a deadly secret weapon. True to her mysterious nature, Black Widow comes and goes as she pleases, but always appears exactly when her particular skills are needed."
Iron Man,Iron Man,7390,"Wounded, captured and forced to build a weapon by his enemies, billionaire industrialist Tony Stark instead created an advanced suit of armor to save his life and escape captivity. Now with a new outlook on life, Tony uses his money and intelligence to make the world a safer, better place as Iron Man."
Iron Man,Iron Man (Iron Man 3 - The Official Game),0,
Iron Man,Iron Man (LEGO Marvel Super Heroes),0,
Iron Man,Iron Man (Marvel Heroes),0,
Iron Man,Iron Man (Marvel War of Heroes),0,
Iron Man,Iron Man (Ultimate),199,
Iron Man,Iron Man/Tony Stark (MAA),0,"Tony Stark is the genius inventor/billionaire/philanthropist owner of Stark Industries. With his super high-tech Iron Man suit, he is practically indestructible, able to fly, and has a large selection of weapons to choose from - but it's Tony's quick thinking and ability to adapt and improvise that make him an effective leader of the Avengers.        "
Thor,Thor,5185,"As the Norse God of thunder and lightning, Thor wields one of the greatest weapons ever made, the enchanted hammer Mjolnir. While others have described Thor as an over-muscled, oafish imbecile, he's quite smart and compassionate.  He's self-assured, and he would never, ever stop fighting for a worthwhile cause."
Thor,Thor (Goddess of Thunder),148,"When the Odinson lost his ability to wield Mjolnir, the role of Thor, God of Thunder, was left unoccupied&hellip;albeit for a short time. A mysterious female figure picked up the hammer with ease, changing the inscription to fit her status as the Goddess of Thunder.</p>"
Thor,Thor (MAA),0,"Thor is the Asgardian Prince of Thunder, the son of Odin, and the realm's mightiest warrior. He loves the thrill of battle and is always eager to show off his power to the other Avengers, especially the Hulk. Thor's legendary Uru hammer, Mjolnir, gives him the power to control thunder and the ability to fly. He's found a new home on Earth and will defend it as his own... even if he doesn't understand its sayings and customs."
Thor,Thor (Marvel Heroes),0,
Thor,Thor (Marvel War of Heroes),0,
Thor,Thor (Marvel: Avengers Alliance),0,
Thor,Thor (Ultimate),139,"He claims he is the legendary Norse thunder deity Thor, sent to Earth by his father Odin, but official records say he is Thorlief Golmen, who stole his scientist brother Gunnar Golmen's super-soldier technology after suffering a nervous breakdown."
Thor,Thor Girl,42,"Tarene, aware of her true nature as the Designate, a being foretold to elevate all life to greatness, sought adventure and, using Thor as a template, transformed herself into an Asgardian goddess and journeyed to Earth."
Captain Marvel,Captain Marvel (Carol Danvers),1467,
Captain Marvel,Captain Marvel (Genis-Vell),158,
Captain Marvel,Captain Marvel (Mar-Vell),573,
Captain Marvel,Captain Marvel (Monica Rambeau),88,
Captain Marvel,Captain Marvel (Phyla-Vell),47,
